Label,P1:string,P2:string,P3:url,P4:string,P5:time,P6:time,P7:string,P8:string,P9:string,P10:string,P11:string
Pompeyo Gener,Pompeyo Gener,España,http://commons.wikimedia.org/wiki/Special:FilePath/Pompeyo%20Gener%20%28cropped%29.jpg,Barcelona,+1846-01-01T00:00:00Z,+1920-01-01T00:00:00Z,,,"La muerte y el diablo",,1337
Porfirio Barba Jacob Benitez,Porfirio Barba Jacob Benitez,Colombia,http://commons.wikimedia.org/wiki/Special:FilePath/Porfirio%20Barba%20Jacob-Busto-Medellin.JPG,Santa Rosa de Osos,+1883-07-29T00:00:00Z,+1942-01-14T00:00:00Z,,,,,10241
Prudencio,Prudencio,Antigua Roma,http://commons.wikimedia.org/wiki/Special:FilePath/BLAdd24199PrudentiusFol11v.jpg,Calahorra,+0348-01-01T00:00:00Z,+0405-01-01T00:00:00Z,"Poesía",,,,12069
Prudencio Mudarra y Párraga,Prudencio Mudarra y Párraga,España,http://commons.wikimedia.org/wiki/Special:FilePath/Prudencio%20Mudarra%20y%20P%C3%A1rraga%2C%20marqu%C3%A9s%20consorte%20de%20Campo%20Ameno%20y%20rector%20de%20la%20Universidad%20de%20Sevilla%20%28Universidad%20de%20Sevilla%29.jpg,Frailes,+1851-03-17T00:00:00Z,+1907-11-21T00:00:00Z,,,,,31404
Pío Baroja,Pío Baroja,España,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20P%C3%ADo%20Baroja%20%28cropped%29.jpg,San Sebastián,+1872-12-28T00:00:00Z,+1956-10-30T00:00:00Z,"Novela, Teatro","Generación del 98",,,2945
R. A. Torrey,R. A. Torrey,Estados Unidos,http://commons.wikimedia.org/wiki/Special:FilePath/RATorrey.jpg,Hoboken,+1856-01-28T00:00:00Z,+1928-10-26T00:00:00Z,,,,,773
Rafael Alberti,Rafael Alberti,España,http://commons.wikimedia.org/wiki/Special:FilePath/Alberti002.jpg,El Puerto de Santa María,+1902-12-16T00:00:00Z,+1999-10-28T00:00:00Z,"Poesía, Teatro",,,"Premio Miguel de Cervantes, Premio Lenin de la Paz, Premio Nacional de Teatro, Orden de la Insignia de Honor, Cruz de Sant Jordi, Orden Nacional José Martí, Hijo Predilecto de Andalucía, Hija Predilecta de la Provincia de Cádiz, doctor honoris causa de la Universidad Nacional Mayor de San Marcos, doctor honoris causa por la Universidad de Granada, doctor honoris causa por la Universidad Complutense de Madrid, doctor honoris causa por la universidad de Burdeos Montaigne, premio Mariano de Cavia",7596
Rafael Alberto Arrieta,Rafael Alberto Arrieta,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Rafeal%20Alberto%20Arrieta.jpg,Rauch,+1889-10-28T00:00:00Z,+1968-01-01T00:00:00Z,"Poesía",,,,5822
Rafael Altamira,Rafael Altamira,España,http://commons.wikimedia.org/wiki/Special:FilePath/Rafael%20Altamira%201900.jpg,Alicante,+1866-02-10T00:00:00Z,+1951-06-01T00:00:00Z,,,,"Oficial de la Legión de Honor, Caballero Gran Cruz de la Orden de la Corona de Italia, Gran Cruz del Mérito Naval con distintivo blanco, Gran Cruz de la Orden Civil de Alfonso XII, doctor honoris causa por la universidad de Cambridge, Doctor honoris causa de la Universidad de Columbia, doctorado honoris causa por la Universidad Nacional Autónoma de México",5050
Rafael Azcona,Rafael Azcona,España,http://commons.wikimedia.org/wiki/Special:FilePath/Rafaelazcona2006ur.jpg,Logroño,+1926-10-24T00:00:00Z,+2008-03-24T00:00:00Z,,,,,3620
Rafael Barrett,Rafael Barrett,España,http://commons.wikimedia.org/wiki/Special:FilePath/Barrett.jpg,Torrelavega,+1876-01-01T00:00:00Z,+1910-01-01T00:00:00Z,,,,,693
Rafael Cansinos Assens,Rafael Cansinos Assens,España,http://commons.wikimedia.org/wiki/Special:FilePath/Rafael%20Cansinos%20Assens.JPG,Sevilla,+1882-11-24T00:00:00Z,+1964-07-06T00:00:00Z,"Poesía",,,"Caballero de la Orden de las Palmas Académicas",6380
Rafael Chirbes,Rafael Chirbes,España,http://commons.wikimedia.org/wiki/Special:FilePath/Chirbes%20rafael%20280908%20lesung%20koeln%201.jpg,Tabernes de Valldigna,+1949-06-27T00:00:00Z,+2015-08-15T00:00:00Z,"Novela, Ensayo",,,"Premio Viareggio",14496
Rafael Conde y Luque,Rafael Conde y Luque,España,http://commons.wikimedia.org/wiki/Special:FilePath/Bartolome%20maura-Retrato%20de%20Rafael%20Conde%20y%20Luque.jpg,Córdoba,+1835-02-04T00:00:00Z,+1922-09-14T00:00:00Z,,,,"Gran Cruz de la Orden Civil de Alfonso XII",73297
Rafael Delgado,Rafael Delgado,México,http://commons.wikimedia.org/wiki/Special:FilePath/Rafael%20Delgado.png,Córdoba,+1853-08-20T00:00:00Z,+1914-05-20T00:00:00Z,,,,,36650
