Label,P1:string,P2:string,P3:url,P4:string,P5:time,P6:time,P7:string,P8:string,P9:string,P10:string,P11:string,QID
Aaron Copland,Aaron Copland,Estados Unidos,http://commons.wikimedia.org/wiki/Special:FilePath/Aaron%20Copland%20in%201962.jpg,Brooklyn,+1900-11-14T00:00:00Z,+1990-12-02T00:00:00Z,"Ópera, Música clásica, Sinfonía, Ballet",,,"Medalla Presidencial de la Libertad, Premio Pulitzer, Programa Fulbright, Medalla de Oro del Congreso de los Estados Unidos, Beca Guggenheim, Medalla Handel, Premio Kennedy Center Honors, Premio Pulitzer de Música, Medalla Nacional de las Artes, Premio de Roma, Premio Grammy Trustees",44151,Q1
Adela Zamudio,Adela Zamudio,Bolivia,http://commons.wikimedia.org/wiki/Special:FilePath/Adela%20Zamudio.jpg,Cochabamba,+1854-10-11T00:00:00Z,+1928-06-02T00:00:00Z,"Poesía, Cuento, Narrativa",,Íntimas,,12977,Q2
Adelardo López de Ayala,Adelardo López de Ayala,España,http://commons.wikimedia.org/wiki/Special:FilePath/Adelardo%20L%C3%B3pez%20de%20Ayala%20%28Museo%20del%20Romanticismo%20de%20Madrid%29.jpg,Guadalcanal,+1828-05-01T00:00:00Z,+1879-12-30T00:00:00Z,Teatro,,,,1972,Q3
Adolf Friedrich von Schack,Adolf Friedrich von Schack,Alemania,http://commons.wikimedia.org/wiki/Special:FilePath/Adolf%20F%20G%20v%20Schack.jpg,Schwerin,+1815-08-02T00:00:00Z,+1894-04-14T00:00:00Z,,,,"Orden bávara de Maximiliano para la Ciencia y las Artes, Ciudadano honorario de Múnich",108,Q4
Adriano González León,Adriano González León,Venezuela,http://commons.wikimedia.org/wiki/Special:FilePath/Adriano%20Gonz%C3%A1lez%20Le%C3%B3n%20%28a%C3%B1os%2050%29.jpg,Valera,+1931-11-14T00:00:00Z,+2008-01-12T00:00:00Z,,,,"Premio Biblioteca Breve, Premio Nacional de Literatura de Venezuela",74402,Q5
Adrienne Rich,Adrienne Rich,Estados Unidos,http://commons.wikimedia.org/wiki/Special:FilePath/Audre%20Lorde%2C%20Meridel%20Lesueur%2C%20Adrienne%20Rich%201980.jpg,Baltimore,+1929-05-16T00:00:00Z,+2012-03-27T00:00:00Z,,,,"Premio Bollingen, Premio Literario Lambda, Medalla Robert Frost, Beca Guggenheim, Beca MacArthur, doctor honoris causa de la Universidad de Harvard",5513,Q6
Agatha Christie,Agatha Christie,Reino Unido,http://commons.wikimedia.org/wiki/Special:FilePath/Agatha%20Christie%20in%201925.jpg,Torquay,+1890-09-15T00:00:00Z,+1976-01-12T00:00:00Z,"Autobiografía, Ficción de detectives, Novela policíaca, Novela de aventuras",,"Towards Zero, Un triste ciprés, Noche eterna, A Daughter's a Daughter, Hércules Poirot, Y no quedó ninguno, El asesinato de Roger Ackroyd, Cinco cerditos, Muerte en el Nilo, El misterio de Sittaford, Un crimen dormido, El misterio de la guía de ferrocarriles, Telón, Cartas sobre la mesa, Se anuncia un asesinato, La muerte de Lord Edgware, Asesinato en el Orient Express, Peligro inminente","Dama Comandante de la Orden del Imperio británico, miembro de la Real Sociedad de Literatura, Premio Edgar, Orden del Imperio británico",1532,Q7
Agustín García Calvo,Agustín García Calvo,España,http://commons.wikimedia.org/wiki/Special:FilePath/Agustin%20Garcia%20Calvo.jpg,Zamora,+1926-10-15T00:00:00Z,+2012-11-01T00:00:00Z,Poesía,Librepensador,,,73848,Q8
Agustín Gómez,Agustín Gómez,Guatemala,http://commons.wikimedia.org/wiki/Special:FilePath/Agustibgomez1897.jpg,Guatemala,+1838-02-24T00:00:00Z,+1908-05-07T00:00:00Z,,,,,10154,Q9
Agustín Moreto,Agustín Moreto,España,http://commons.wikimedia.org/wiki/Special:FilePath/Pareja-agustin%20moreto.jpg,Madrid,+1618-04-09T00:00:00Z,+1669-10-28T00:00:00Z,,,,,104,Q10
